index_items,product_name,category_name,sub_category,brand_name,sale_price,market_price,type_product,rating_product,price_segment
8951,Fruit & Vegetable Juice - Blends Lean,Beverages,Fruit Juices & Drinks,Raw Pressery,350.1,450,Unsweetened Cold Press,4.1,Medium
8957,Skimmed Milk Powder,Gourmet & World Food,Cooking & Baking Needs,Puramate,58.5,65,Baking Cake Decorations,4.6,Low
9001,Amla Fruit Powder - Supports As Natural Vit C Supplement,Beauty & Hygiene,Health & Medicine,Bixa Botanical,245,245,Ayurveda,,Medium
9002,Milk Chocolate Candies,Gourmet & World Food,Chocolates & Biscuits,M&M's,30,30,International Chocolates,3.8,Low
9005,Healthy Nutmix - Premium International,Gourmet & World Food,Snacks Dry Fruits Nuts,Happilo,489.1,730,Roasted Seeds & Nuts,3.8,Medium
9055,Premium Kalmi Dates,Gourmet & World Food,Snacks Dry Fruits Nuts,Nutty Gritties,450,450,Dry Fruits & Berries,,Medium
9058,Organic - Roasted Channa Dal/Kadale Bele,Foodgrains Oil & Masala,Organic Staples,Pro Nature,53.2,56,Organic Dals & Pulses,4.1,Low
9059,Germ Kill Spray Foam,Beauty & Hygiene,Bath & Hand Wash,Dr Rhazes,160,160,Hand Wash & Sanitizers,1.9,Medium
9060,Face Mask GP95+ - White Medium,Beauty & Hygiene,Health & Medicine,Godrej Protekt,130,160,Face Masks & Safety Gears,3.9,Medium
9062,G1 Cologne - For Women,Beauty & Hygiene,Fragrances & Deos,Engage,137.5,250,Women's Deodorants,4.1,Medium
9109,Honey Moisture Mask - For Dry & Damaged Hair,Beauty & Hygiene,Hair Care,Godrej Professional,250,250,Hair & Scalp Treatment,5,Medium
9162,Hide & Seek - Vanilla Creme,Snacks & Branded Foods,Biscuits & Cookies,Parle,30,30,Cream Biscuits & Wafers,4.2,Low
9163,Premium Seedless Afghani Green Raisins,Gourmet & World Food,Snacks Dry Fruits Nuts,Happilo,245,245,Dry Fruits & Berries,,Medium
9164,Bamboo Wood Chopping/Cutting Board - Large 9x13 Inch,Kitchen Garden & Pets,Kitchen Accessories,Bamboooz,399,599,Choppers & Graters,3.9,Medium
9165,Night Eau De Toilette,Beauty & Hygiene,Fragrances & Deos,Guess,2793,3990,Eau De Toilette,4.7,High
9166,Easy 5 Minute Hair Colour - Natural Brown,Beauty & Hygiene,Hair Care,Godrej Expert,102,120,Hair Color,3.9,Medium
9168,New Marvel 2500 Inner Steel Casserole For Roti/Chapati - Peach,Kitchen Garden & Pets,Flask & Casserole,Milton,499,655,Casserole,3.8,Medium
9216,Chocolate Milk - Choc,Gourmet & World Food,Chocolates & Biscuits,Tango,30,30,International Chocolates,,Low
9217,Insect Repellent-Ant,Cleaning & Household,Fresheners & Repellents,BB Home Herbal,158,210,Insect Repellent,3,Medium
9218,White Xylitol Sugarfree Spearmint Flavour Chewing Gum - Fliptop,Snacks & Branded Foods,Chocolates & Candies,Happydent,20,20,Mints & Chewing Gum,4.1,Low
9269,Multi-purpose Disinfectant Spray Cleaner 500 ml + Face Mask GP95+ Blue Large 1pc,Cleaning & Household,All Purpose Cleaners,Godrej Protekt,257.5,310,Disinfectant Spray & Cleaners,,Medium
9270,Organic Peanut Butter Smooth - Unsweetened/Gluten Free/ Non-GMO/Vegan,Snacks & Branded Foods,Spreads Sauces Ketchup,Alpino,249,249,Choco & Nut Spread,4,Medium
9273,Luminous Whip,Beauty & Hygiene,Skin Care,Olay,449.1,499,Face Care,4.8,Medium
9321,King Size Notebook - Four Line 160 Pages Soft Cover,Cleaning & Household,Stationery,Papergrid,46,48,Notebooks Files Folders,5,Low
9322,Natural Ice Cream - Mixed Berries,Bakery Cakes & Dairy,Ice Creams & Desserts,NIC,325,325,Ice Creams,3.3,Medium
9323,Advansed Aloe Vera Enriched Coconut Hair Oil,Beauty & Hygiene,Hair Care,Parachute,78,78,Hair Oil & Serum,4.3,Low
9324,Stainless Steel Storage Lunch Container - Rainbow,Kitchen Garden & Pets,Steel Utensils,Ramson,129,279,Steel Storage Containers,2.3,Medium
9325,Mango Lassi,Bakery Cakes & Dairy,Dairy,Paper Boat,25,25,Buttermilk & Lassi,4,Low
9373,Active Baby Small (3-8 kg) - 46 Diapers,Baby Care,Diapers & Wipes,Pampers,759.5,775,Diapers,4.6,High
9374,Deodorant Spray - Skye For Women,Beauty & Hygiene,Fragrances & Deos,Armaf,375,375,Body Sprays & Mists,,Medium
9375,Mahayogaraj Guggulu - 250mg,Beauty & Hygiene,Health & Medicine,Sri Sri Tattva,180,180,Ayurveda,,Medium
9376,Glass Bottle With Plastic Outer - Pink Lid BB1309,Kitchen Garden & Pets,Storage & Accessories,DP,189,349,Water & Fridge Bottles,2.5,Medium
9377,Masala - Fish,Foodgrains Oil & Masala,Masalas & Spices,Double Horse,50,50,Blended Masalas,4.1,Low
9425,Toilet Cleaner - Ultra Shine,Cleaning & Household,All Purpose Cleaners,SANIFRESH,104,154,Toilet Cleaners,4.2,Medium
9426,Cheese Slice - Plain,Bakery Cakes & Dairy,Dairy,Nandini,50.4,63,Cheese,4.2,Low
9427,Bio-Cell Firming Face Mask,Beauty & Hygiene,Skin Care,The Face Shop,300,300,Face Care,,Medium
9479,Sauteed Onion & Garlic Pasta Sauce,Gourmet & World Food,Sauces Spreads & Dips,Ragu,450,450,Mustard & Cheese Sauces,4.1,Medium
9480,Mixture - Bajra Puffs Masala,Gourmet & World Food,Snacks Dry Fruits Nuts,Roasty Tasty,60,60,Roasted Seeds & Nuts,4.5,Low
9481,Powder - Pepper,Foodgrains Oil & Masala,Masalas & Spices,Eastern,99.75,105,Powdered Spices,4.2,Low
9482,50-50 Maska Chaska,Snacks & Branded Foods,Biscuits & Cookies,Britannia,63.75,75,Salted Biscuits,4.4,Low
9483,100 % Pure Honey - Lemon,Gourmet & World Food,Sauces Spreads & Dips,NUTRIWISH,800,800,Honey & Maple Syrup,3,High
9485,Elaichi Shrikhand,Bakery Cakes & Dairy,Dairy,Amul,90,100,Yogurt & Shrikhand,4.1,Low
9487,Rajwadi Tea (Chai) Masala - Immunity Booster,Foodgrains Oil & Masala,Masalas & Spices,Jawai,245,245,Blended Masalas,4.5,Medium
9533,Fields Of Gold Organic Black Pepper/Kari Menasu - Whole,Foodgrains Oil & Masala,Organic Staples,PRISTINE,135,135,Organic Masalas & Spices,4.3,Medium
8464,Ubtan Face Mask,Beauty & Hygiene,Skin Care,Mamaearth,99,99,Face Care,4.2,Low
8465,Bio Colour - Soft Black,Beauty & Hygiene,Hair Care,Vegetal,145,145,Hair Color,2.8,Medium
8466,Cranberry Kombucha - Zero Sugar,Gourmet & World Food,Drinks & Beverages,Toyo Kombucha,150,150,Aerated Still Sparkling,,Medium
